numenc;descricao
2110256133;REGULAMENTA VELOCIDADE
2110256133;PAIRE ESCOLA
2110256133;LOMBADA-MANUT. HORIZONTAL
2110258136;REGULAMENTA/ALTERA CIRCULACAO
2110258136;SINALIZAÇAO DE ADVERTENCIA
2110259132;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2110263130;SINALIZAÇAO DE ADVERTENCIA
2110264136;REGULAMENTA ESTACIONAMENTO
2110265132;REGULAMENTA ESTACIONAMENTO
2110266139;REGULAMENTA ESTACIONAMENTO
2110267135;REGULAMENTA ESTACIONAMENTO
2110267135;HORIZ.SIST.VIARIO SECUNDARIO
2110269138;REGULAMENTA ESTACIONAMENTO
2110269138;HORIZ.SIST.VIARIO SECUNDARIO
2110274131;REGULAMENTA ESTACIONAMENTO
2210153131;HORIZ. SIST. VIARIO PRINCIPAL
2210190134;REGULAMENTA ESTACIONAMENTO
2210190134;PAIRE ESCOLA
2210366100;REGULAMENTA ESTACIONAMENTO
2210366100;HORIZ.SIST.VIARIO SECUNDARIO
2210460107;REGULAMENTA ESTACIONAMENTO
2310001139;REGULAMENTA PREFERENCIAL
2310002135;SINALIZAÇAO DE ADVERTENCIA
2310003131;SINALIZAÇAO DE ADVERTENCIA
2310004138;SINALIZAÇAO DE ADVERTENCIA
2310004138;REGULAMENTA ALTURA DE PONTES E VIADUTOS
2310005134;REGULAMENTA/ALTERA CIRCULACAO
2310006130;PROJETO DE SEGURANÇA
2310007137;REGULAMENTA ESTACIONAMENTO
2310009130;REGULAMENTA ESTACIONAMENTO
2310010138;REGULAMENTA ESTACIONAMENTO
2310011134;PROJETO DE SEGURANÇA
2310012130;REGULAMENTA/ALTERA CIRCULACAO
2310013137;REGULAMENTA VELOCIDADE
2310014133;HORIZ.SIST.VIARIO SECUNDARIO
2310014133;PROJETO DE SEGURANÇA - PEDESTRE
2310015130;PROJETO DE SEGURANÇA
2310015130;PROJETO DE SEGURANÇA - PEDESTRE
2310016136;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310017132;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310018139;REGULAMENTA/ALTERA CIRCULACAO
2310019135;REGULAMENTA ESTACIONAMENTO
2310020133;REGULAMENTA ESTACIONAMENTO
2310021130;PROJETO DE SEGURANÇA
2310022136;REGULAMENTA PREFERENCIAL
2310022136;PROJETO DE SEGURANÇA
2310024139;REGULAMENTA ESTACIONAMENTO
2310028088;PROJETO GEOMETRICO
2310028088;PROJETO OBRA CIVIL
2310028134;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310029130;PROJETO DE SEGURANÇA
2310029130;DISPOSITIVOS AUXILIARES
2310032131;REGULAMENTA ESTACIONAMENTO
2310033138;REGULAMENTA/ALTERA CIRCULACAO
2310034134;REGULAMENTA ESTACIONAMENTO
2310035130;REGULAMENTA ESTACIONAMENTO
2310037133;REGULAMENTA ESTACIONAMENTO
2310050091;SINALIZAÇAO DE ORIENTACAO
2310057100;HORIZ.SIST.VIARIO SECUNDARIO
2310063096;HORIZ.SIST.VIARIO SECUNDARIO
2310070122;PROJETO ESCOLA
2310070122;SINALIZAÇAO DE ORIENTACAO
2310070122;REGULAMENTA ESTACIONAMENTO
2310070122;SINALIZAÇAO DE ADVERTENCIA
2310070122;REGULAMENTA VELOCIDADE
2310070122;PROJETO DE SEGURANÇA - PEDESTRE
2310070122;MANUTENÇÃO DE SINALIZAÇÃO JUNTO ÀS ESCOLAS
2310072125;ZONA AZUL
2310078115;PROJETO DE SEGURANÇA - PEDESTRE
2310079120;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310090093;PROJETO DE SEGURANÇA - PEDESTRE
2310092088;REGULAMENTA ESTACIONAMENTO
2310099120;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310107123;REGULAMENTA ESTACIONAMENTO
2310108120;REGULAMENTA ESTACIONAMENTO
2310109126;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310114090;PROJETO GEOMETRICO
2310114090;PROJETO DE SEGURANÇA - PEDESTRE
