numenc;local
2310007137;R   ARTUR DE AZEVEDO  ENTRE  AV PEDROSO DE MORAIS E  R CUNHA GAGO
2310009130;R   ARTUR DE AZEVEDO  ENTRE  R HENRIQUE SCHAUMANN E  R FRADIQUE COUTINHO
2310009130;R   ARTUR DE AZEVEDO  X  R JOAQUIM ANTUNES
2310009130;R   ARTUR DE AZEVEDO  X  R FRADIQUE COUTINHO
2310009130;R   ARTUR DE AZEVEDO  X  R FRANCISCO LEITAO
2310009130;R   ARTUR DE AZEVEDO  X  R CON EUGENIO LEITE
2310009130;R   ARTUR DE AZEVEDO  X  R HENRIQUE SCHAUMANN
2310009130;R   ARTUR DE AZEVEDO  X  R MATEUS GROU
2310009130;R   ARTUR DE AZEVEDO  X  R DR VIRGILIO DE CARVALHO PINTO
2310010138;R   CAPITAL FEDERAL  X  AV PROF ALFONSO BOVERO
2310011134;R   CERRO CORA  X  R MARIO WHATELEY
2310012130;AV DR  ARNALDO  X  R CARD ARCOVERDE
2310012130;AV DR  ARNALDO  X  R SILVIO SACRAMENTO
2310013137;R   ARTUR DE AZEVEDO  - N.985
2310013137;R   ARTUR DE AZEVEDO  ENTRE  R FRANCISCO LEITAO E  R CON EUGENIO LEITE
2310014133;R   PLINIO DE MORAIS  X  R PROF PAULINO LONGO
2310015130;R   HENRIQUE SCHAUMANN  X  R TEODORO SAMPAIO
2310016136;R CARD  ARCOVERDE  X  R TEODORO SAMPAIO
2310017132;R PDE  CERDA  X  R SEBASTIAO RODRIGUES
2310017132;R MADRE  MARIA ANGELICA RESENDE  X  R PAULISTANIA
2310017132;R   PAULISTANIA  X  R BERNARDA LUIZ
2310017132;R   LIVI  X  R BERNARDA LUIZ
2310017132;R   CAMINHA DE AMORIM  X  R BERNARDA LUIZ
2310017132;R   NAZARE PAULISTA  X  R MADRE MARIA ANGELICA RESENDE
2310017132;R   IBIRACU  X  R FLORALIA
2310017132;R   NAZARE PAULISTA  X  R LIVI
2310018139;R   ALICE MACUCO ALVES  X  R CERRO CORA
2310019135;R   PURPURINA  X  R GIRASSOL
2310020133;R   GIRASSOL  X  R PURPURINA
2310021130;R   OROS  X  R DOM ROSALVO
2310022136;R   OROS  X  R DOM ROSALVO
2310024139;R IRMAO  LUCAS  X  R CARD ARCOVERDE - N.34
2310028088;R   TITO  X  AV RICARDO MEDINA FILHO
2310028088;PC S  CRISPIM  X  R TITO
2310028134;R DR  CARLOS NORBERTO DE S. ARANHA  X  R TIMBUIBA
2310028134;AV   DIOGENES RIBEIRO DE LIMA  X  R TIMBUIBA
