Estação n°;Nome;Endereço;Bairro;Inauguração;BU
20;Rua Estados Unidos;Rua Madre Teodora, em frente ao número 368 / Esquina com a Rua Veneza;Jardim América;11/08/12;não
21;Parque Trianon;Alameda Jaú, em frente à  Praça Alexandre de Gusmão;Jardim Paulista;13/10/12;sim
22;Alliance Française;Alameda Jaú, em frente ao número 1278 / esquina com a Alameda Min Rocha Azevedo;Jardim Paulista;11/10/12;não
23;Teatro Renaissance;Rua Haddock Lobo, 807;Jardim Paulista;23/10/13;não
24;Consolação;Rua da Consolação, frente ao número 2796;Jardim Paulista;13/10/12;não
25;Bela Cintra;Rua Bela Cintra, frente ao número 2006 / Esquina com a Alameda Lorena;Jardim Paulista;26/10/12;não
26;Oscar Freire;Rua Oscar Freire, em frente ao nº 465 / Esquina com a Rua Pe. J. Manuel;Jardim Paulista;14/10/12;não
27;Alameda Casa Branca;Alameda Casa Branca, frente ao número 930;Jardim Paulista;25/10/12;não
28;Canadá;Rua Canadá, em frente ao nº6, oposto ao nº11 / perto à praça Nicolau;Jardim América;26/10/12;não
29;Guadelupe;Rua Guadelupe, em frente à praça General San Martin;Jardim América;26/10/12;não
30;Avenida Brasil;Rua Venezuela, oposto ao número 365 / lateral do número 1802, esquina com a Avenida Brasil;Jardim América;26/10/12;não
31;Antônio Bento;Rua Antônio Bento, em frente a Praça Dr. Clemente Faria e nº322 / Esquina com a Rua Veneza;Itaim Bibi;22/09/12;não
32;Henrique Martins;Rua General Mena Barreto, em frente ao nº507 / Esquina com a Rua Henrique Martins;Itaim Bibi;24/09/12;não
33;Avenida São Gabriel;Rua Pedroso Alvarenga, em frente ao nº 85 / Esquina com a Avenida São Gabriel;Itaim Bibi;03/10/12;não
34;Joaquim Floriano;Rua Brasília, em frente ao nº 149 / Esquina com a Rua Joaquim Floriano;Itaim Bibi;22/09/12;não
35;João Cachoeira;Rua Iaiá, lateral do nº 16 / Esquina com a Rua João Cachoeira;Itaim Bibi;01/10/12;não
36;Pedroso Alvarenga;Rua Professor Carlos de Carvalho, lateral do nº 52 / Esquina com a Rua Pedroso Alvarenga;Itaim Bibi;01/10/12;não
37;Parque Ibirapuera - Portão 08;Rua Leonardo Nardez, em frente ao nº 21 / Esquina com a Rua Lourenço Castanho;Vl. Nova Conceição;26/08/12;não
38;Bastos Pereira;Rua Domingos Leme, em frente ao nº 33 / Esquina com a Rua Bastos Pereira;Vl. Nova Conceição;26/08/12;não
39;Parque Ibirapuera - Portão 07;Rua Professor Filadelfo Azevedo em frente ao nº 179 / Esquina com a Rua Escobar Ortiz;Vl. Nova Conceição;26/08/12;não
