MODALIDADE;LICENÇA;CADASTRO
ESCOLAR;638700;638700
ESCOLAR;639100;639100
ESCOLAR;639200;639200
ESCOLAR;639600;639600
ESCOLAR;639700;639700
ESCOLAR;639800;639800
ESCOLAR;639900;639900
ESCOLAR;640000;640000
ESCOLAR;640200;640200
ESCOLAR;640500;640500
ESCOLAR;640700;640700
ESCOLAR;640800;640800
ESCOLAR;641000;641000
ESCOLAR;641100;641100
ESCOLAR;641400;641400
ESCOLAR;641700;641700
ESCOLAR;641800;641800
ESCOLAR;641900;641900
ESCOLAR;642000;642000
ESCOLAR;642400;642400
ESCOLAR;643300;643300
ESCOLAR;643400;643400
ESCOLAR;643600;643600
ESCOLAR;643800;643800
ESCOLAR;643900;643900
ESCOLAR;644200;644200
ESCOLAR;644300;644300
ESCOLAR;644500;644500
ESCOLAR;644600;644600
ESCOLAR;644900;644900
ESCOLAR;645000;645000
ESCOLAR;645300;645300
ESCOLAR;645400;645400
ESCOLAR;645500;645500
ESCOLAR;645600;645600
ESCOLAR;645700;645700
ESCOLAR;646300;646300
ESCOLAR;646400;646400
ESCOLAR;646500;646500
ESCOLAR;646600;646600
ESCOLAR;646700;646700
ESCOLAR;646800;646800
ESCOLAR;646900;646900
ESCOLAR;647200;647200
ESCOLAR;647300;647300
ESCOLAR;647500;647500
ESCOLAR;647600;647600
ESCOLAR;647900;647900
ESCOLAR;648000;648000
ESCOLAR;648100;648100
ESCOLAR;648200;648200
ESCOLAR;648300;648300
ESCOLAR;648400;648400
ESCOLAR;648500;648500
ESCOLAR;648600;648600
ESCOLAR;648700;648700
ESCOLAR;648800;648800
ESCOLAR;649000;649000
ESCOLAR;649100;649100
ESCOLAR;649200;649200
ESCOLAR;649300;649300
ESCOLAR;649400;649400
ESCOLAR;649500;649500
ESCOLAR;649800;649800
ESCOLAR;649900;649900
ESCOLAR;650000;650000
ESCOLAR;650300;650300
ESCOLAR;650400;650400
ESCOLAR;650600;650600
ESCOLAR;650700;650700
