MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
FIAT/DUCATO MUL REVESCAP;2007;03/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;06/12/2013;diesel;
I/KIA BESTA GS GRAND2;2005;03/02/2014;diesel;
IMP/MBENZ 312D SPRINTER M;2000;07/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;20/12/2013;diesel;
IMP/MBENZ 312D SPRINTER M;1999;13/02/2014;diesel;
I/HYUNDAI H100 GLS;2001;10/01/2014;diesel;
FIAT/DUCATO MULTI REVESC;2010;27/12/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2009;18/12/2013;diesel;
IMP/KIA BESTA 12P GS;2001;17/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;08/01/2014;diesel;
I/JINBEI TOPIC L;2013;10/02/2014;gasolina / gnv;
FIAT/ DUCA ESCOLAR FFBM25;2008;31/01/2014;diesel;
FIAT/DUCATO COMBINATO;2006;19/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;14/01/2014;diesel;
PEUGEOT/BOXER FFBM 32;2007;20/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;07/01/2014;diesel;
IMP/MBENZ 312D SPRINTER M;2001;07/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;27/12/2013;diesel;
I/KIA BESTA GS GRAND;2004;06/01/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2010;09/01/2014;diesel;
M.BENZ/LO 814;1996;10/01/2014;diesel;
M.BENZ/LO 814;1996;10/01/2014;diesel;
M.BENZ/LO 814;1996;15/01/2014;diesel;
M.BENZ/LO 814;1996;13/01/2014;diesel;
M.BENZ/LO 814;1996;14/01/2014;diesel;
M.BENZ/LO 814;1996;15/01/2014;diesel;
I/HYUNDAI H100 GLS;2001;10/01/2014;diesel;
FIAT/DUCAMA FFORMA MIC23;2010;21/01/2014;diesel;
