MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;1925237;20/09/2016;ATIVO;20/10/1946;;5
TAXI;1975331;21/06/2015;ATIVO;17/06/1942;23060034;15
TAXI;2020130;15/10/2012;?BITO;01/11/1939;24000450;10
TAXI;2032430;12/06/2017;ATIVO;13/07/1952;7060084;5
TAXI;2124637;18/05/2009;?BITO;;2040069;10
TAXI;2132630;08/08/2015;ATIVO;25/06/1938;24000817;10
TAXI;2170930;13/11/2018;ATIVO;31/12/1948;22120092;10
TAXI;2222639;02/02/2016;ATIVO;14/03/1946;;25
TAXI;2224933;01/12/2014;ATIVO;;17100313;5
TAXI;2248034;05/09/2016;ATIVO;11/10/1946;24000086;5
TAXI;2291134;03/12/2016;ATIVO;27/02/1937;2120224;5
TAXI;2311330;04/06/2016;ATIVO;16/08/1939;17100240;10
TAXI;2314630;12/06/2016;ATIVO;12/06/1938;;5
TAXI;2330237;09/08/2017;ATIVO;07/09/1947;;10
TAXI;2344734;23/11/2014;ATIVO;;17100178;10
TAXI;2349833;28/12/2014;ATIVO;07/02/1933;11020296;5
TAXI;2357631;13/05/2014;ATIVO;;12100145;10
TAXI;2371839;15/08/2014;ATIVO;26/09/1940;12060127;5
TAXI;2392933;14/12/2016;ATIVO;11/12/1950;2040069;5
TAXI;2393034;02/08/2015;ATIVO;06/08/1945;3080200;20
TAXI;2423030;17/02/2014;ATIVO;17/03/1943;24001260;5
TAXI;2443830;10/06/2016;ATIVO;17/09/1946;17060095;10
TAXI;2447533;01/07/2015;ATIVO;20/07/1950;4020049;10
TAXI;2449331;06/08/2016;ATIVO;28/12/1945;;10
TAXI;2472031;08/01/2010;CANCELADO;16/01/1937;;10
TAXI;2485133;05/06/2018;ATIVO;04/07/1948;24001600;10
TAXI;2518732;17/01/2017;ATIVO;26/01/1973;;5
TAXI;2529432;04/12/2017;ATIVO;11/01/1951;7060084;10
TAXI;2531631;02/05/2017;ATIVO;07/06/1947;24001805;5
TAXI;2538237;07/05/2016;ATIVO;;12040134;10
TAXI;2549930;13/06/2016;ATIVO;29/06/1938;2040069;10
TAXI;2551632;02/08/2015;ATIVO;08/09/1936;18040535;5
TAXI;2552035;11/03/2015;ATIVO;20/03/1955;18040640;10
TAXI;2557738;03/06/2014;ATIVO;;;10
TAXI;2571137;05/08/2018;ATIVO;16/08/1948;18060080;10
TAXI;2574535;12/11/2017;ATIVO;;7080042;10
TAXI;2581639;16/12/2016;ATIVO;02/08/1947;20060688;10
TAXI;2588234;09/03/2014;ATIVO;13/07/1944;7080050;5
TAXI;2588331;28/09/2017;ATIVO;09/11/1952;23080230;5
TAXI;2598337;10/04/2016;ATIVO;15/05/1943;24000892;5
TAXI;2604833;23/09/2016;ATIVO;21/10/1942;24001732;10
TAXI;2642735;02/09/2008;?BITO;14/10/1918;;10
TAXI;2674033;20/06/2017;ATIVO;22/06/1949;;15
TAXI;2735334;18/03/2016;ATIVO;28/03/1943;20120478;5
TAXI;2738031;14/02/2016;ATIVO;24/01/1934;20040970;10
TAXI;2769832;16/09/2016;ATIVO;15/09/1943;;5
TAXI;2778033;14/02/2014;?BITO;14/04/1933;1060236;15
TAXI;2779030;12/12/2014;ATIVO;24/02/1935;24000973;5
TAXI;2786834;13/05/2014;ATIVO;16/07/1954;11020229;10
TAXI;2815532;09/02/2015;ATIVO;11/02/1945;;5
TAXI;2851334;30/01/2017;ATIVO;01/03/1952;18060170;5
