MODALIDADE;LICENÇA;TIPO_TERMO;NRO_TERMO;TIPO_ATUACAO
ESCOLAR;519400;Termo Permissão;4490;TITULAR
ESCOLAR;519600;Termo Permissão;2780;TITULAR
ESCOLAR;520900;Termo Permissão;1310;TITULAR
ESCOLAR;521900;Termo Permissão;3530;TITULAR
ESCOLAR;522600;Termo Permissão;3940;TITULAR
ESCOLAR;524100;Termo Permissão;4330;TITULAR
ESCOLAR;524200;Termo Permissão;1930;TITULAR
ESCOLAR;524500;Termo Permissão;2330;TITULAR
ESCOLAR;524700;Termo Permissão;2330;TITULAR
ESCOLAR;524800;Termo Permissão;2330;TITULAR
ESCOLAR;525100;Termo Permissão;2090;TITULAR
ESCOLAR;525500;Termo Permissão;3230;TITULAR
ESCOLAR;528200;Termo Permissão;1910;TITULAR
ESCOLAR;530000;Termo Permissão;3390;TITULAR
ESCOLAR;530100;Termo Permissão;3390;TITULAR
ESCOLAR;530200;Termo Permissão;3390;TITULAR
ESCOLAR;531600;Termo Permissão;3390;TITULAR
ESCOLAR;536000;Termo Permissão;2420;TITULAR
ESCOLAR;536400;Termo Permissão;3070;TITULAR
ESCOLAR;536500;Termo Permissão;3070;TITULAR
ESCOLAR;537300;Termo Permissão;2180;TITULAR
ESCOLAR;538100;Termo Permissão;1110;TITULAR
ESCOLAR;539900;Termo Permissão;2100;TITULAR
ESCOLAR;540000;Termo Permissão;2100;TITULAR
ESCOLAR;540600;Termo Permissão;3380;TITULAR
ESCOLAR;540700;Termo Permissão;3380;TITULAR
ESCOLAR;543400;Termo Permissão;3520;TITULAR
ESCOLAR;545900;Termo Permissão;2560;TITULAR
ESCOLAR;546400;Termo Permissão;2680;TITULAR
ESCOLAR;548800;Termo Permissão;1640;TITULAR
ESCOLAR;549500;Termo Permissão;4590;TITULAR
ESCOLAR;549800;Termo Permissão;2330;TITULAR
ESCOLAR;549900;Termo Permissão;2330;TITULAR
ESCOLAR;551600;Termo Permissão;1930;TITULAR
