LOCAL_PONTO;NRO_PONTO;SITUACAO;TIPO;CATEGORIA;ENDEREÇO;NRO;CEP;CODLOG;REGIAO;SUBPREFEITURA
2120275;1409;ATIVO;PRIVATIVO;COMUM;SÔNIA MARGY, R.;367;2351030;149390;NORTE;JACANA/TREMEMBE
2128047;;ATIVO;;COMUM;JOSÉ ANTUNES TTE, R.;80;2233010;608416;NORTE;VILA MARIA/VILA GUILHERME
2148013;;ATIVO;;COMUM;ANTONELO DA MESSINA, AV.;1636;2318000;163058;NORTE;JACANA/TREMEMBE
3020053;1634;ATIVO;PRIVATIVO;COMUM;LADARIO BARÃO DE, R.;566;3010000;115258;LESTE;MOOCA
3020061;1664;ATIVO;PRIVATIVO;COMUM;FIRMINO WHITAKER MIN., R.;95;3012020;71650;LESTE;MOOCA
3020126;2730;ATIVO;PRIVATIVO;COMUM;ORIENTE, R.;100;3016000;150533;LESTE;MOOCA
3020150;1469;ATIVO;PRIVATIVO;COMUM;ORIENTE, R.;455;3016000;150533;LESTE;MOOCA
3020215;154;ATIVO;PRIVATIVO;COMUM;BRÁS DO, LGO;1229;3001000;168700;LESTE;MOOCA
3020231;2911;ATIVO;PRIVATIVO;COMUM;RODRIGUES DOS SANTOS, R.;300;3009010;173185;LESTE;MOOCA
3020275;3015;EXTINTO;;COMUM;RICARDO GONÇALVES DR, R.;117;3012040;170810;LESTE;MOOCA
3025012;;ATIVO;LIVRE;COMUM RADIO;ALFANDEGA DA, R.;51;3006030;6661;NORTE;MOOCA
3040046;366;ATIVO;PRIVATIVO;COMUM;CACHOEIRA, R.;572;3024000;37877;LESTE;MOOCA
3040062;1794;ATIVO;PRIVATIVO;COMUM;MARIA MARCOLINA, R.;293;3011001;133035;LESTE;MOOCA
3040070;1211;ATIVO;PRIVATIVO;COMUM;VAUTIER, AV.;346;3032000;195162;LESTE;MOOCA
3040097;1225;ATIVO;PRIVATIVO;COMUM;INÁCIO DE ARAUJO, R.;67;3053010;91014;LESTE;MOOCA
3040100;1249;ATIVO;PRIVATIVO;COMUM;MENDES GONÇALVES, R.;423;3027010;138258;LESTE;MOOCA
3040160;1538;ATIVO;PRIVATIVO;COMUM;ORIENTE, R.;360;3016000;150533;LESTE;MOOCA
3040178;1568;ATIVO;PRIVATIVO;COMUM;ORIENTE, R.;599;3016000;150533;LESTE;MOOCA
3040186;1540;ATIVO;PRIVATIVO;COMUM;ORIENTE, R.;714;3016000;150533;LESTE;MOOCA
3040194;1506;ATIVO;PRIVATIVO;COMUM;ORIENTE, R.;828;3016000;150533;LESTE;MOOCA
3040224;1752;ATIVO;PRIVATIVO;COMUM;BRESSER, R.;338;3017000;36536;LESTE;MOOCA
3040232;1800;ATIVO;PRIVATIVO;COMUM;RIO BONITO, R;845;3023000;171123;LESTE;MOOCA
3040240;1844;ATIVO;PRIVATIVO;COMUM;MENDES JR, R.;58;3016010;132691;LESTE;MOOCA
3040259;1820;ATIVO;PRIVATIVO;COMUM;MARIA MARCOLINA, R.;146;3011000;133035;LESTE;MOOCA
3040275;735;ATIVO;PRIVATIVO;COMUM;DURVAL VILALVA DR., R.;233;8110240;61484;LESTE;ITAIM PAULISTA
3040283;;ATIVO;LIVRE;ESPECIAL;TERMINAL RODOVIÁRIO BRESSER;67;3053020;196975;NORTE;MOOCA
3040291;1400;ATIVO;PRIVATIVO;COMUM;CHAVANTES, R.;640;3027000;48712;LESTE;MOOCA
3040313;844;ATIVO;PRIVATIVO;COMUM;JOÃO TEODORO, R.;1689;3009000;104850;LESTE;MOOCA
3040364;1857;ATIVO;PRIVATIVO;COMUM;HANNEMANN, R.;263;3031040;85707;LESTE;MOOCA
3040402;754;ATIVO;PRIVATIVO;COMUM;LUIS DO PAÇO, R.;100;3071070;122254;LESTE;MOOCA
3040410;2107;ATIVO;PRIVATIVO;COMUM;JOLY, R.;421;3016020;106402;LESTE;MOOCA
