idLombada;codLomb;tipo;altura;comprimento;dataPublicacaoImplantacao;codlog;logradouro;alturaNumerica;referencia;siglaSubprefeitura;nomeSubprefeitura;classificacaoViaria;declividade;larguraPista;temCalcada;larguraCalcada;volumePedestre;tipoVolumeVeiculo;tipoPavimento;condicaoPavimento;temVisibilidadePrejudicada;temEscola;nomeEscola;temColetivo;temRiscoAcidente;substituidaPor;observacao
13969;431840;I;0.08;1.50;05/04/2011 00:00;30660;CAETANO DO AMARAL, R;363;NULL;AF;ARICANDUVA;1;5.00;7.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;Frente a G.R. nº 347, readequada para nº 363
5418;300958;I;0.08;1.50;18/03/1999 00:00;30702;JORGE WALTER NUNES, R FREI;516;NULL;IQ;ITAQUERA;1;6.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
1209;310357;I;0.09;1.50;26/09/1998 00:00;30719;JOSE LOPES AFONSO, R;319;NULL;MP;SÃO MIGUEL;1;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
10126;210215;II;0.09;3.70;18/03/1999 00:00;30803;ANTONIO VERA CRUZ, R;61;NULL;CV;CASA VERDE / CACHOEIRINHA;1;2.00;6.80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
10127;210216;II;0.09;3.70;18/03/1999 00:00;30803;ANTONIO VERA CRUZ, R;245;NULL;CV;CASA VERDE / CACHOEIRINHA;1;5.00;6.80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
10937;220135;I;0.07;1.50;26/09/1998 00:00;30862;VISTA GAUCHA, R;52;NULL;FO;FREGUESIA / BRASILÂNDIA;1;1.00;6.80;1;1.00;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
27742;511393;I;0.10;1.50;29/05/1999 00:00;30943;MONTE CASEROS, R;226;NULL;BT;BUTANTÃ;1;4.00;7.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
27457;510007;I;0.08;1.50;26/09/1998 00:00;30963;JOSE XAVIER DE ARAUJO, AV;97;NULL;BT;BUTANTÃ;1;3.00;7.50;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
17206;520237;I;0.09;1.30;18/03/1999 00:00;31174;ANDREA SANSOVINO, AV;406;NULL;CL;CAMPO LIMPO;1;6.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
17207;520238;I;0.08;1.40;18/03/1999 00:00;31174;ANDREA SANSOVINO, AV;141;NULL;CL;CAMPO LIMPO;1;6.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
