Id Placa;Categoria;Município;Marca Veículo CET;Marca Veículo Denatran;Tipo Veículo Cet;Tipo Veículo Denatran;Cor Denatran;Ano Modelo;Tipo Registro;Espécie
372;1;7107;35;104707;6;6;159;1991;1;19
373;1;7107;19;140801;6;6;159;1991;1;19
374;1;6621;35;104707;6;6;159;1991;1;19
375;1;7107;35;104407;6;6;27;1988;1;19
376;1;7107;19;117904;6;6;94;1973;1;19
377;1;7107;19;117902;6;6;27;1969;1;19
378;1;7107;27;103105;6;6;27;1980;1;19
379;1;7107;345;105202;6;6;43;1991;1;19
380;1;7121;345;105202;6;6;27;1991;1;19
381;1;6175;345;105202;6;6;43;1991;1;19
382;1;7107;345;105202;6;6;27;1991;1;19
383;1;7107;345;105406;6;6;51;1991;1;19
384;1;7107;19;115099;6;6;27;1980;1;19
385;1;7107;19;116717;6;6;159;1979;1;19
386;1;6377;35;104499;6;6;140;1984;1;0
387;1;7107;27;103104;6;6;43;1978;1;19
388;1;7107;19;117902;6;6;43;1980;1;19
389;1;7107;19;115710;6;6;43;1987;1;19
390;1;7183;19;117711;6;6;51;1989;1;19
391;1;6789;19;115099;6;6;159;1978;1;0
392;1;6551;27;103303;6;6;27;1989;1;19
393;1;7107;19;117499;6;6;159;1976;1;19
394;1;7107;35;132804;6;6;51;1991;1;19
395;1;7107;35;104710;6;6;27;1991;1;19
396;1;7107;19;115709;6;6;27;1991;1;19
397;1;7107;35;104710;6;6;27;1991;1;19
398;1;6789;35;104407;6;6;51;1985;1;0
399;1;7099;19;115709;6;6;108;1991;1;19
400;1;7107;19;115099;6;6;35;1974;1;19
401;1;7107;19;117499;6;6;140;1980;1;19
402;1;7107;19;115709;6;6;27;1991;1;19
403;1;7107;19;140801;6;6;51;1991;1;19
404;1;7107;19;134502;6;6;116;1989;1;19
405;1;6293;35;132802;6;6;159;1991;1;19
406;1;6189;51;102608;6;6;140;1991;1;19
407;1;7107;35;104710;6;6;159;1991;1;19
408;1;7203;27;103105;6;6;140;1983;1;19
409;1;7107;2461;139503;6;6;43;1991;1;19
410;1;7107;19;140803;6;6;43;1991;1;19
411;1;6875;19;115709;6;6;108;1991;1;19
412;1;7107;27;102903;6;6;140;1979;1;19
413;1;7107;35;104902;6;6;159;1991;1;19
414;1;6551;19;117005;6;6;108;1991;1;19
415;1;7107;35;104306;6;6;51;1990;1;19
416;1;6789;35;104307;6;6;159;1990;1;19
417;1;7107;35;104412;6;6;51;1991;1;19
418;1;7107;35;104710;6;6;159;1991;1;19
419;1;6477;19;115709;6;6;43;1991;1;19
420;1;6715;19;115714;6;6;159;1989;1;19
421;2;7209;51;118403;6;6;35;1989;1;0
422;1;7191;19;140802;6;6;51;1991;1;0
423;1;7107;51;102608;6;6;43;1991;1;19
