Codigo;Municipio
06817;PARANAPANEMA                  
06819;PARANAPUA                     
06821;PARAPUA                       
06823;PARDINHO                      
06825;PARIQUERA-ACU                 
06827;PATROCINIO PAULISTA           
06829;PAULICEIA                     
06831;PAULINIA                      
06833;PAULO DE FARIA                
06835;PEDERNEIRAS                   
06837;PEDRA BELA                    
06839;PEDRANOPOLIS                  
06841;PEDREGULHO                    
06843;PEDREIRA                      
06845;PEDRO DE TOLEDO               
06847;PENAPOLIS                     
06849;PEREIRA BARRETO               
06851;PEREIRAS                      
06853;PERUIBE                       
06855;PIACATU                       
06857;PIEDADE                       
06859;PILAR DO SUL                  
06861;PINDAMONHANGABA               
06863;PINDORAMA                     
06865;ESPIRITO SANTO DO PINHAL      
06867;PINHALZINHO                   
06869;PIQUEROBI                     
06871;PIQUETE                       
06873;PIRACAIA                      
06875;PIRACICABA                    
06877;PIRAJU                        
06879;PIRAJUI                       
06881;PIRANGI                       
06883;PIRAPORA DO BOM JESUS         
06885;PIRAPOZINHO                   
06887;PIRASSUNUNGA                  
06889;PIRATININGA                   
06891;PITANGUEIRAS                  
06893;PLANALTO                      
06895;PLATINA                       
06897;POA                           
06899;POLONI                        
06901;POMPEIA                       
06903;PONGAI                        
06905;PONTAL                        
06907;PONTES GESTAL                 
06909;POPULINA                      
06911;PORANGABA                     
06913;PORTO FELIZ                   
06915;PORTO FERREIRA                
06917;POTIRENDABA                   
06919;PRADOPOLIS                    
06921;PRAIA GRANDE                  
06923;PRESIDENTE ALVES              
06925;PRESIDENTE BERNARDES          
06927;PRESIDENTE EPITACIO           
06929;PRESIDENTE PRUDENTE           
06931;PRESIDENTE WENCESLAU          
06933;PROMISSAO                     
06935;QUATA                         
06937;QUEIROZ                       
06939;QUELUZ                        
06941;QUINTANA                      
06943;RAFARD                        
06945;RANCHARIA                     
06947;REDENCAO DA SERRA             
06949;REGENTE FEIJO                 
06951;REGINOPOLIS                   
06953;REGISTRO                      
06955;RESTINGA                      
06957;RIBEIRA                       
06959;RIBEIRAO BONITO               
06961;RIBEIRAO BRANCO               
06963;RIBEIRAO CORRENTE             
06965;RIBEIRAO DO SUL               
06967;RIBEIRAO PIRES                
06969;RIBEIRAO PRETO                
06971;RIVERSUL                      
06973;RIFAINA                       
06975;RINCAO                        
06977;RINOPOLIS                     
06979;RIO CLARO                     
06981;RIO DAS PEDRAS                
06983;RIO GRANDE DA SERRA           
06985;RIOLANDIA                     
06987;ROSEIRA                       
06989;RUBIACEA                      
06991;RUBINEIA                      
06993;SABINO                        
06995;SAGRES                        
06997;SALES                         
06999;SALES OLIVEIRA                
07001;SALESOPOLIS                   
07003;SALMORAO                      
07005;SALTO                         
07007;SALTO DE PIRAPORA             
07009;SALTO GRANDE                  
07011;SANDOVALINA                   
07013;SANTA ADELIA                  
07015;SANTA ALBERTINA               
07017;SANTA BARBARA DO OESTE        
07019;AGUAS DE SANTA BARBARA        
07021;SANTA BRANCA                  
07023;SANTA CLARA D OESTE           
07025;SANTA CRUZ DA CONCEICAO       
07027;SANTA CRUZ DAS PALMEIRAS      
07029;SANTA CRUZ DO RIO PARDO       
07031;SANTA ERNESTINA               
07033;SANTA FE DO SUL               
07035;SANTA GERTRUDES               
07037;SANTA ISABEL                  
07039;SANTA LUCIA                   
07041;SANTA MARIA DA SERRA          
07043;SANTA MERCEDES                
07045;SANTANA DA PONTE PENSA        
07047;SANTANA DE PARNAIBA           
07049;SANTA RITA D OESTE            
07051;SANTA RITA DO PASSA QUATRO    
07053;SANTA ROSA DE VITERBO         
07055;SANTO ANASTACIO               
07057;SANTO ANDRE                   
07059;SANTO ANTONIO DA ALEGRIA      
07061;SANTO ANTONIO DE POSSE        
07063;SANTO ANTONIO DO JARDIM       
07065;SANTO ANTONIO DO PINHAL       
07067;SANTO EXPEDITO                
07069;SANTOPOLIS DO AGUAPEI         
07071;SANTOS                        
07073;SAO BENTO DO SAPUCAI          
07075;SAO BERNARDO DO CAMPO         
07077;SAO CAETANO DO SUL            
07079;SAO CARLOS                    
07081;SAO FRANCISCO                 
07083;SAO JOAO DA BOA VISTA         
07085;SAO JOAO DAS DUAS PONTES      
07087;SAO JOAO DO PAU D ALHO        
07089;SAO JOAQUIM DA BARRA          
07091;SAO JOSE DA BELA VISTA        
07093;SAO JOSE DO BARREIRO          
07095;SAO JOSE DO RIO PARDO         
07097;SAO JOSE DO RIO PRETO         
07099;SAO JOSE DOS CAMPOS           
07101;SAO LUIS DO PARAITINGA        
07103;SAO MANUEL                    
07105;SAO MIGUEL ARCANJO            
07107;SAO PAULO                     
07109;SAO PEDRO                     
07111;SAO PEDRO DO TURVO            
07113;SAO ROQUE                     
07115;SAO SEBASTIAO                 
07117;SAO SEBASTIAO DA GRAMA        
07119;SAO SIMAO                     
07121;SAO VICENTE                   
07123;SARAPUI                       
07125;SARUTAIA                      
07127;SEBASTIANOPOLIS DO SUL        
07129;SERRA AZUL                    
07131;SERRANA                       
07133;SERRA NEGRA                   
07135;SERTAOZINHO                   
07137;SETE BARRAS                   
07139;SEVERINIA                     
07141;SILVEIRAS                     
07143;SOCORRO                       
07145;SOROCABA                      
07147;SUD MENNUCCI                  
07149;SUMARE                        
07151;SUZANO                        
07153;TABAPUA                       
07155;TABATINGA                     
07157;TABOAO DA SERRA               
07159;TACIBA                        
07161;TAGUAI                        
07163;TAIACU                        
07165;TAIUVA                        
07167;TAMBAU                        
07169;TANABI                        
07171;TAPIRAI                       
07173;TAPIRATIBA                    
07175;TAQUARITINGA                  
07177;TAQUARITUBA                   
07179;TARABAI                       
07181;TATUI                         
07183;TAUBATE                       
07185;TEJUPA                        
07187;TEODORO SAMPAIO               
07189;TERRA ROXA                    
07191;TIETE                         
07193;TIMBURI                       
07195;TORRINHA                      
07197;TREMEMBE                      
07199;TRES FRONTEIRAS               
07201;TUPA                          
07203;TUPI PAULISTA                 
07205;TURIUBA                       
07207;TURMALINA                     
07209;UBATUBA                       
07211;UBIRAJARA                     
07213;UCHOA                         
07215;UNIAO PAULISTA                
07217;URANIA                        
07219;URU                           
07221;URUPES                        
07223;VALENTIM GENTIL               
07225;VALINHOS                      
07227;VALPARAISO                    
07231;VARGEM GRANDE DO SUL          
07233;VARZEA PAULISTA               
07235;VERA CRUZ                     
07237;VINHEDO                       
07239;VIRADOURO                     
07241;VISTA ALEGRE DO ALTO          
07243;VOTORANTIM                    
07245;VOTUPORANGA                   
07247;BOREBI                        
07249;DIRCE REIS                    
07251;EMBAUBA                       
07253;ESPIRITO SANTO DO TURVO       
07255;EUCLIDES DA CUNHA PAULISTA    
07257;GUATAPARA                     
07259;IARAS                         
07261;IBITIUVA                      
07263;MOTUCA                        
07265;ROSANA                        
07267;TARUMA                        
07273;VARGEM GRANDE PAULISTA        
