id_local;local;subprefeitura;distrito;latitude;longitude
3118;DOMINGOS DE MORAIS, R x FRANCISCO CRUZ, R;VILA MARIANA;VILA MARIANA;-23,59072;-46,635306
3119;AFONSO CELSO, R x MANUEL VICENTE, R MONS x MAURICIO F. KLABIN, R;VILA MARIANA;VILA MARIANA;-23,593027;-46,635259
3120;NOE AZEVEDO, AV PROF x PINTO FERRAZ, R DR;VILA MARIANA;VILA MARIANA;-23,589667;-46,634739
3121;LINS DE VASCONCELOS, AV x NOE AZEVEDO, AV PROF;VILA MARIANA;VILA MARIANA;-23,589174;-46,634511
3122;DOMINGOS DE MORAIS, R - (N 1392 - PROX.  R. DONA  JULIA  -  R. CAP. CAVALCANTI);VILA MARIANA;VILA MARIANA;-23,588449;-46,635346
3123;LINS DE VASCONCELOS, AV x BRIGIDA, R DONA;VILA MARIANA;VILA MARIANA;-23,587944;-46,630076
3126;VERGUEIRO, R x IRAJA, R CD DE - (N 3597);VILA MARIANA;VILA MARIANA;-23,591616;-46,631554
3127;FRANCISCO CRUZ, R x FABIO PRADO, AV PREF x BONITOS, R;VILA MARIANA;VILA MARIANA;-23,589798;-46,630188
3128;VERGUEIRO, R x PINTO FERRAZ, R DR x BONITOS, R;VILA MARIANA;VILA MARIANA;-23,589341;-46,631661
3129;PEDRO DE TOLEDO, R - (N 1800 - HOSPITAL  MUNICIPAL);VILA MARIANA;MOEMA;-23,596493;-46,65678
3130;IBIRAPUERA, AV x PEDRO DE TOLEDO, R;VILA MARIANA;MOEMA;-23,596959;-46,655853
3131;IBIRAPUERA, AV x BORGES LAGOA, R x MONDEGO, R;VILA MARIANA;MOEMA;-23,595812;-46,654642
3132;INDIANOPOLIS, AV x NHAMBIQUARAS, AL DOS;VILA MARIANA;MOEMA;-23,602842;-46,655277
3133;INDIANOPOLIS, AV x MARACATINS, AL DOS x ASCENDINO REIS, AV PROF;VILA MARIANA;MOEMA;-23,602221;-46,656192
3134;INDIANOPOLIS, AV x IRAE, AL;VILA MARIANA;MOEMA;-23,600755;-46,657948
3135;HABERBECK BRANDAO, R DR x ASCENDINO REIS, AV PROF x NHAMBIQUARAS, AL DOS x JANETE CLAIR, PC;VILA MARIANA;MOEMA;-23,600488;-46,652921
3136;BORGES LAGOA, R - (N 1755 - HOSPITAL  DO SERVIDOR PUBLICO);VILA MARIANA;VILA MARIANA;-23,595791;-46,654515
3137;PEDRO DE TOLEDO, R x BACELAR, R DR;VILA MARIANA;VILA MARIANA;-23,597872;-46,647966
3138;BORGES LAGOA, R x BACELAR, R DR;VILA MARIANA;VILA MARIANA;-23,596605;-46,647829
3139;BACELAR, R DR x DIOGO DE FARIA, R DR;VILA MARIANA;VILA MARIANA;-23,595323;-46,647696
3140;ASCENDINO REIS, AV PROF x BORGES LAGOA, R;VILA MARIANA;MOEMA;-23,596324;-46,650951
3141;ASCENDINO REIS, AV PROF x PEDRO DE TOLEDO, R x PEDRO DE TOLEDO, VD;VILA MARIANA;MOEMA;-23,597736;-46,651149
3142;RUBEM BERTA, AV x JOSE MARIA WHITAKER, AV x HABERBECK BRANDAO, R DR x ONZE DE JUNHO, AV;VILA MARIANA;MOEMA;-23,601861;-46,650955
3145;JOSE MARIA WHITAKER, AV x ALTINO ARANTES, AV DR x GENEROSA, R STA;VILA MARIANA;SAUDE;-23,602678;-46,650216
3147;BORGES LAGOA, R x JOSE DE MAGALHAES, R;VILA MARIANA;VILA MARIANA;-23,596493;-46,649157
3148;LOEFGREEN, R x BACELAR, R DR;VILA MARIANA;SAUDE;-23,599031;-46,648094
3149;PEDRO DE TOLEDO, R x JOSE DE MAGALHAES, R;VILA MARIANA;VILA MARIANA;-23,597782;-46,649265
3150;ASCENDINO REIS, AV PROF - (N 1130 - SAIDA TCM - *);VILA MARIANA;MOEMA;-23,596242;-46,650956
3152;ALTINO ARANTES, AV DR x BACELAR, R DR;VILA MARIANA;SAUDE;-23,60259;-46,648481
3154;ONZE DE JUNHO, AV x BACELAR, R DR;VILA MARIANA;SAUDE;-23,601312;-46,64833
3155;HABERBECK BRANDAO, R DR x ANAPURUS, AL DOS;VILA MARIANA;MOEMA;-23,601296;-46,651917
3157;DIOGO DE FARIA, R DR x BOTUCATU, R;VILA MARIANA;VILA MARIANA;-23,595791;-46,642378
3158;LOEFGREEN, R - (N 2109 - ENTRE R. DOS OTONIS E R. LEANDRO DUPRET);VILA MARIANA;SAUDE;-23,599298;-46,646184
3159;TRES DE MAIO, R x ONZE DE JUNHO, AV;VILA MARIANA;SAUDE;-23,601411;-46,641948
3160;ONZE DE JUNHO, AV x NAPOLEAO DE BARROS, R;VILA MARIANA;SAUDE;-23,601404;-46,644355
3161;NAPOLEAO DE BARROS, R x PEDRO DE TOLEDO, R;VILA MARIANA;VILA MARIANA;-23,598221;-46,643986
3162;BORGES LAGOA, R x BOTUCATU, R;VILA MARIANA;VILA MARIANA;-23,597056;-46,642534
3163;NAPOLEAO DE BARROS, R x BORGES LAGOA, R;VILA MARIANA;VILA MARIANA;-23,596955;-46,643847
3164;PEDRO DE TOLEDO, R x BOTUCATU, R;VILA MARIANA;VILA MARIANA;-23,598329;-46,6427
3165;OTONIS, R DOS x DIOGO DE FARIA, R DR;VILA MARIANA;VILA MARIANA;-23,595568;-46,645055
3168;ALTINO ARANTES, AV DR x NAPOLEAO DE BARROS, R;VILA MARIANA;SAUDE;-23,602619;-46,64453
3169;LOEFGREEN, R x NAPOLEAO DE BARROS, R;VILA MARIANA;SAUDE;-23,599494;-46,644146
3170;NAPOLEAO DE BARROS, R x DIOGO DE FARIA, R DR;VILA MARIANA;VILA MARIANA;-23,595673;-46,64371
3172;BORGES LAGOA, R x OTONIS, R DOS;VILA MARIANA;VILA MARIANA;-23,596831;-46,645189
3173;PEDRO DE TOLEDO, R x OTONIS, R DOS;VILA MARIANA;VILA MARIANA;-23,598094;-46,645332
3174;LOEFGREEN, R x BOTUCATU, R;VILA MARIANA;SAUDE;-23,599619;-46,642865
3175;ALTINO ARANTES, AV DR x LEANDRO DUPRE, R;VILA MARIANA;SAUDE;-23,602627;-46,646959
3176;ONZE DE JUNHO, AV x LEANDRO DUPRE, R;VILA MARIANA;SAUDE;-23,601339;-46,646873
3177;BORGES LAGOA, R x LEANDRO DUPRE, R;VILA MARIANA;VILA MARIANA;-23,596726;-46,64651
3178;ONZE DE JUNHO, AV x PRIMEIRO DE JANEIRO, R;VILA MARIANA;SAUDE;-23,601464;-46,639869
3179;ALTINO ARANTES, AV DR x PRIMEIRO DE JANEIRO, R;VILA MARIANA;SAUDE;-23,602689;-46,639885
3180;DOMINGOS DE MORAIS, R x MACHADO, R PDE x ONZE DE JUNHO, AV;VILA MARIANA;SAUDE;-23,58273;-46,637941
3181;DOMINGOS DE MORAIS, R x BORGES LAGOA, R x CRUZ, R STA;VILA MARIANA;VILA MARIANA;-23,597083;-46,636687
3182;DOMINGOS DE MORAIS, R x LOEFGREEN, R;VILA MARIANA;SAUDE;-23,59964;-46,636651
3183;GOMES RIBEIRO, R TTE x LOEFGREEN, R;VILA MARIANA;SAUDE;-23,599652;-46,637584
3184;BORGES LAGOA, R x LISBOA, R CEL;VILA MARIANA;VILA MARIANA;-23,597195;-46,639789
3185;PEDRO DE TOLEDO, R x LISBOA, R CEL;VILA MARIANA;VILA MARIANA;-23,598462;-46,639821
3186;LOEFGREEN, R x PRIMEIRO DE JANEIRO, R x LISBOA, R CEL;VILA MARIANA;SAUDE;-23,599617;-46,639783
3187;GOMES RIBEIRO, R TTE x PEDRO DE TOLEDO, R;VILA MARIANA;VILA MARIANA;-23,598458;-46,637579
3188;DIOGO DE FARIA, R DR x LISBOA, R CEL;VILA MARIANA;VILA MARIANA;-23,595997;-46,639768
3189;DOMINGOS DE MORAIS, R x PEDRO DE TOLEDO, R;VILA MARIANA;VILA MARIANA;-23,598419;-46,636646
3190;DOMINGOS DE MORAIS, R x ALTINO ARANTES, AV DR x PELEJA, R OUVID;VILA MARIANA;SAUDE;-23,602727;-46,636681
3191;BORGES LAGOA, R x MARSELHESA, R;VILA MARIANA;VILA MARIANA;-23,597178;-46,641197
3192;DIOGO DE FARIA, R DR x MARSELHESA, R;VILA MARIANA;VILA MARIANA;-23,595913;-46,641087
3193;PEDRO DE TOLEDO, R x MACHADO BITENCOURT, R;VILA MARIANA;VILA MARIANA;-23,598497;-46,638335
3194;LOEFGREEN, R x MACHADO BITENCOURT, R;VILA MARIANA;SAUDE;-23,599651;-46,638335
3195;AFONSO CELSO, R x CRUZ, R STA;VILA MARIANA;VILA MARIANA;-23,596957;-46,634967
3196;LOEFGREEN, R x AFONSO CELSO, R;VILA MARIANA;SAUDE;-23,599668;-46,634957
3197;MACHADO, R PDE x AFONSO CELSO, R;VILA MARIANA;SAUDE;-23,601521;-46,634953
3198;AFONSO CELSO, R x TIRSO MARTINS, R DR;VILA MARIANA;VILA MARIANA;-23,595668;-46,635016
3199;CRUZ, R STA x BITENCOURT SAMPAIO, R x JOAQUIM LIBANIO, R DEP;VILA MARIANA;VILA MARIANA;-23,597143;-46,630415
