CADLOG;ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;GEOCOD
5 05245;D051300105;05245;;;NC;24/05/2013;1820;2;D;;04;4428;;;11000000000000000;0100;;26;0112;05245;;EMH9058;MO;EVB0724;AU;;;CO;;;;
175 14804;D051300107;14804;;175;;02/05/2013;1000;4;D;;05;2365;;;00000001000000000;0100;CT;63;0113;14804;;DTA4056;OU;;;;;AT;;;;
5 19764;D051300108;19764;;;NC;02/05/2013;1520;4;D;;05;2370;;;10000000000000000;0100;;17;0113;19764;;;AU;;;;;AT;;;;
5 19764;D051300109;19764;;;ACLESTE-OESTE;06/05/2013;1220;2;D;;05;2425;;;01000000000100000;0100;;17;0113;33667;;DEG0447;MO;;CM;;;CO;;;;
5 19764;D051300119;19764;;;ACPC.DR JOAO ME;13/05/2013;1350;2;D;;05;2579;;;11000000000000000;0100;;17;0113;19764;;EXD0750;MO;;AU;;;CO;;;;
300 19764;D051300121;19764;;300;;21/05/2013;0936;2;D;;05;2693;;;11000000000000000;0100;VM;17;0114;19764;;DRY4590;MO;EIA7666;AU;;;CT;;;;
5 19764;D051300134;19764;;;PXVD JACEGUAI;24/05/2013;1814;2;D;;05;4423;;;11000000000100000;0100;;17;0115;19764;;FAV4342;MO;DXX6577;AU;EUP9174;CM;CO;;;;
5 19764;D051300418;19764;;;PXVD GAL MARCON;02/05/2013;1919;2;D;;36;4584;;;11000000000000000;0100;;17;0216;19764;;HJT0775;AU;ESE6005;MO;;;CO;;;;
5 19764;D051300423;19764;;;PXCV.AYRTON SEN;28/05/2013;1930;2;D;;36;5667;B;;11000000000000000;0100;;17;0217;19764;;DGT4728;MO;ELQ8390;AU;;;CO;;;;
151 19764;D051300124;19764;;151;;22/05/2013;1340;2;D;;05;2740;;;01000000000000000;0100;;;0114;19764;;DTN8098;MO;;;;;CO;;;;
11 19764;D051300079;19764;;11;;22/05/2013;1347;2;D;;03;4154;;;11000000000000000;0100;;;0108;19764;;EXL0476;MO;BOK5421;AU;;;CT;;;;
573 16725;D061300007;16725;;573;;03/06/2013;0500;4;D;;01;4409;;;00000000000100000;0100;CT;09;0101;16725;;ETS5960;CM;;;;;AT;;;;
3433 06642;D061300010;06642;;3433;;06/06/2013;0831;2;D;;01;4556;;;01000000000000000;0100;CT;09;0101;06642;;ESE2770;MO;;;;;QM;;;;
06642&&13853;D061300012;06642;13853;;;11/06/2013;1830;2;D;;01;4647;;;01000000000100000;0100;CT;80;0102;06642;13853;EJQ5927;MO;FAM1407;CM;;;CO;;;;
