ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS
D111200708;16838;;17000;;10/11/2012;1530;2;D;;46;5458;;;30010000000000000;0100;FL;31;0329;16838;;DTE7023;CA;ERV9199;AU;DAL0915;AU;CT;;;
D111200806;13014;;17000;;03/11/2012;1100;2;D;;89;8311;;;20010000000000000;0100;PB;40;0342;13014;;EFU6975;AU;DSA3643;AU;FCR1057;CA;CO;;;
D111201169;04146;;;PXR.ANA SACRAME;23/11/2012;1310;4;D;;73;11971;;;00000000000000010;0100;;09;0435;04146;;;SI;;;;;AT;;;
D111201411;06238;;17000;;09/11/2012;1130;2;D;;11;96;;;21000000000000000;0100;PB;90;0601;13014;;ETC8300;AU;HCV1934;AU;FAY6891;MO;CO;;;
D111201423;06238;;17000;;07/11/2012;0950;2;D;;11;12247;;;11000000000000000;0100;PB;90;0602;13014;;DXN2039;MO;EQS3509;AU;;;CO;;;
D121200005;06642;13853;;;07/12/2012;1900;2;D;;01;8600;;;01000000000100000;0100;CT;80;0101;06642;13853;FGQ5384;CM;GJR3096;MO;;;CO;;;
D121200006;19764;;;ATVD.PEDROSO;07/12/2012;2030;2;D;;01;8610;;;01000000000000000;0100;;17;0101;19764;;EXK5354;MO;;;;;CH;;;
D121200010;15635;12165;;;03/12/2012;0820;2;D;;01;11162;;;00000001000000000;0100;CT;67;0101;02398;12165;DJB3213;OU;;;;;SI;;;
D121200011;16725;19745;;;03/12/2012;1119;4;D;;01;11183;;;10000000000000000;0100;CT;67;0101;16725;19745;ELW9194;AU;;;;;AT;;;
D121200012;15984;;713;;06/12/2012;1312;4;D;;01;11327;;;00010000000000000;0100;CT;01;0102;15984;;;CA;;;;;AT;;;
D121200014;10376;;;NC;07/12/2012;1730;2;D;;01;11374;;;11000000000000000;0100;;80;0102;10376;;CPM3563;AU;DJK8136;MO;;;CO;;;
D121200015;01454;;;PXP? SE;12/12/2012;1120;4;D;;01;11510;;;00000001000000000;0100;;80;0102;01454;;FCB2742;OU;;;;;AT;;;
D121200017;15984;19745;;;13/12/2012;1120;4;D;;01;11548;;;00000001000000000;0100;;;0102;15984;19745;DTB8897;OU;;;;;AT;;;
D121200021;10376;;10;;17/12/2012;0630;4;D;;01;11642;;;10000000000000000;0100;CT;80;0102;10376;;ESK7474;AU;;;;;AT;;;
D121200022;06642;;3967;;17/12/2012;1120;2;D;;01;11659;;;11000000000000000;0100;CT;09;0102;06642;;DBQ8655;AU;EKI9320;MO;;;CO;;;
D121200023;16725;19745;;;17/12/2012;1640;4;D;;01;11679;;;01000000000000000;0100;CT;67;0102;16725;19745;EJN6619;MO;;;;;AT;;;
D121200027;10376;;140;;27/12/2012;1500;2;D;;01;11943;;;11000000000000000;0100;CT;80;0103;10376;;NXZ5389;AU;ECT1640;MO;;;CO;;;
D121200029;01454;;45;;29/12/2012;0630;4;D;;01;11990;;;10000000000000000;0100;CT;80;0103;01454;;DPS8853;AU;;;;;AT;;;
D121200033;33602;;;NC;11/12/2012;0250;2;D;;01;8695;;;01000000000000000;0100;;01;0103;33602;;DZO2508;MO;;;;;QM;;;
D121200034;13853;06642;;;20/12/2012;1330;2;D;;01;11787;;;20000000000000000;0100;CT;80;0103;06642;13853;DPJ5847;AU;EZT7974;AU;;;CO;;;
D121200066;09276;;1000;;17/12/2012;1940;4;D;;03;193;;;10000000000000000;0100;CT;67;0108;09276;;;AU;;;;;AT;;;
D121200067;12132;;150;;01/12/2012;1030;2;D;;03;305;;;20000000000100000;0100;CT;67;0108;12132;;DPS4585;AU;NZJ0080;AU;ENV8362;CM;CO;;;
D121200071;16593;;545;;09/12/2012;1153;2;D;;03;3538;C;;20000000000000000;0100;CT;09;0108;16593;;DZM1916;AU;FEX6698;AU;;;CH;;;
D121200072;14804;;216;;15/12/2012;2234;4;D;;03;3676;;;00000001000000000;0100;CT;63;0108;14804;;DTD3441;OU;;;;;AT;;;
D121200073;17115;;100;;17/12/2012;2145;2;D;;03;3720;;;11000000000000000;0100;CT;05;0108;17115;;FFB7890;MO;EQG6500;AU;;;CO;;;
D121200076;16725;;107;;28/12/2012;2317;4;D;;03;3955;;;00000001000000000;0100;CT;09;0108;16725;;DTB1740;OU;;;;;AT;;;
D121200077;17986;15938;;;06/12/2012;1500;2;D;;03;9829;;;01000001000000000;0100;;;0109;15938;17986;ELW2978;OU;DRZ0755;MO;;;CO;;;
D121200079;99464;;;PXPRESTES MAIA;11/12/2012;1110;2;D;;03;9961;C;;01000000000001000;0100;;67;0109;99464;;DXH1841;JI;EHZ1358;MO;;;CO;;;
D121200081;18108;;277;;19/12/2012;1827;4;D;;03;10196;;;01000000000000000;0100;CT;07;0109;18108;;EOU1573;MO;;;;;AT;;;
D121200082;09276;17115;;;20/12/2012;1638;2;D;;03;10223;;;01000000000100000;0100;CT;67;0109;09276;17115;DUY4039;MO;CDF0153;CM;;;CO;;;
D121200083;12951;;;NC;07/12/2012;1130;4;D;;03;10230;;;00000000000000010;0100;;67;0109;12951;;;SI;;;;;AT;;;
D121200114;19764;;300;;17/12/2012;0645;2;D;;05;10589;;;00000000000100010;0100;VM;17;0113;19764;;EJY7722;CM;;SI;;;CT;;;
D121200268;15635;;10;;29/12/2012;1112;2;D;;1;12002;;;01000000000000000;0100;CT;80;0131;15635;;KVE2751;MO;;;;;QM;;;
D121200413;19764;;;NC;14/12/2012;1740;2;D;;36;4891;;;11000000000000000;0100;;17;0218;19764;;EXG3688;MO;FGE5645;AU;;;CO;;;
D121200449;01242;;10;;19/12/2012;1030;2;D;;95;5316;;;11000000000000000;0100;CT;80;0222;01242;;EVD7794;AU;EOS8034;MO;;;CO;;;
D121202286;35449;;17000;;01/12/2012;1715;2;D;;33;10572;;;01010000000000000;0101;RV;64;0001;35449;;DJZ1882;MO;ESW9781;CA;;;QM;;;
D121202309;06136;;401;;23/12/2012;0330;4;D;;08;8976;;;00010000000000000;0001;CT;80;0003;06136;;BTA1910;CA;;;;;AT;;;
